title, author, price, ratingcount, numstar, genre, bestseller, publisher
Greenlights,Matthew McConaughey,0,707,707
Modern Comfort Food: A Barefoot Contessa Cookbook,Matthew McConaughey,18,1,233,1233
The Deep End (Diary of a Wimpy Kid Book 15),Matthew McConaughey,14,509,509
A Time for Mercy (Jake Brigance Book 3),Matthew McConaughey,21,4,448,4448
5 More Sleeps ‘til Christmas,Matthew McConaughey,16,18,18
This Just Speaks to Me: Words to Live By Every Day,Matthew McConaughey,9,261,261
The Searcher: A Novel,Matthew McConaughey,0,2,815,2815
The Tower of Nero (Trials of Apollo The Book Five) (Trials of Apollo 5),Matthew McConaughey,21,2,489,2489
The Sentinel: A Jack Reacher Novel,Matthew McConaughey,14,319,319
Follow the Money: The Shocking Deep State Connections of the Anti-Trump Cabal,Matthew McConaughey,0,598,598
The Spider Who Saved Christmas,Matthew McConaughey,17,97,97
Plantifully Lean: A Simple Easy to Follow Plant-Based Guide & Cookbook for Maximized Weight Loss,Matthew McConaughey,11,36,36
Humans,Matthew McConaughey,9,1,574,1574
Leave the World Behind: A Novel,Matthew McConaughey,15,1,345,1345
Is This Anything?,Matthew McConaughey,13,348,348
The Invisible Life of Addie LaRue,Matthew McConaughey,0,1,050,1050
A Republic Under Assault: The Left's Ongoing Attack on American Freedom (3) (Judicial Watch),|,20,28,28
Harry Potter and the Sorcerer's Stone: MinaLima Edition (Harry Potter Book 1) (1),|,0,110,110
Food Babe Kitchen: More than 100 Delicious Real Food Recipes to Change Your Body and Your Life: THE NEW YORK TIMES BESTSELLER,|,14,77,77
Guinness World Records 2021,|,23,113,113
Heroes' Feast (Dungeons & Dragons): The Official D&D Cookbook,|,24,37,37
Made for Living: Collected Interiors for All Sorts of Styles,|,14,24,24
Troubles in Paradise,|,14,2,772,2772
Ten Lessons for a Post-Pandemic World,|,22,243,243
Make Life Beautiful,|,14,87,87
Dessert Person: Recipes and Guidance for Baking with Confidence,|,24,136,136
America the Beautiful: A Story in Photographs,|,14,2,2
Group: How One Therapist and a Circle of Strangers Saved My Life,|,14,11,11
Jacques Pépin Quick & Simple,|,19,183,183
The 99% Invisible City: A Field Guide to the Hidden World of Everyday Design,|,0,401,401
Ottolenghi Flavor: A Cookbook,|,17,135,135
Trust: America's Best Chance,|,9,174,174
The Wim Hof Method: Activate Your Full Human Potential,and,17,73,73
God’s Chaos Code: The Shocking Blueprint that Reveals 5 Keys to the Destiny of Nations (The Chaos Series),and,0,115,115
American Crisis: Leadership Lessons from the COVID-19 Pandemic,and,11,167,167
The Rise: Black Cooks and the Soul of American Food: A Cookbook,and,14,4,4
Spy School Revolution,and,9,616,616
Milk Bar: Kids Only: A Cookbook,and,18,1,1
Magic Lessons: The Prequel to Practical Magic,and,0,695,695
The Cost: Trump China and American Revival,and,14,7,7
Discipline Equals Freedom: Field Manual Mk1-MOD1,and,23,76,76
Hallmark Channel Countdown to Christmas: Have a Very Merry Movie Holiday,and,16,50,50
Loving: A Photographic History of Men in Love 1850s-1950s,and,11,39,39
Keep Moving: Notes on Loss Creativity and Change,and,10,51,51
Bill Nye's Great Big World of Science,and,0,4,4
Let Love Rule,and,16,292,292
Battle of Brothers: William and Harry – The Inside Story of a Family in Tumult,and,11,307,307
The Noel Letters (The Noel Collection),and,16,47,47
